sample_id	lifestyle	hydration_status
n1l	lichenized	natural_low
n2l	lichenized	natural_low
n3l	lichenized	natural_low
m1l	lichenized	natural_low
m2l	lichenized	natural_low
m3l	lichenized	natural_low
c1l	lichenized	natural_low
c2l	lichenized	natural_low
c3l	lichenized	natural_low
e1l	lichenized	natural_low
e2l	lichenized	natural_low
e3l	lichenized	natural_low
n1cl	lichenized	saturated
n2cl	lichenized	saturated
n3cl	lichenized	saturated
m1cl	lichenized	saturated
m2cl	lichenized	saturated
m3cl	lichenized	saturated
c1cl	lichenized	saturated
c2cl	lichenized	saturated
c3cl	lichenized	saturated
e1cl	lichenized	saturated
e2cl	lichenized	saturated
e3cl	lichenized	saturated
n1t	bryophyte_associated	natural_low
n2t	bryophyte_associated	natural_low
n3t	bryophyte_associated	natural_low
m1t	bryophyte_associated	natural_low
m2t	bryophyte_associated	natural_low
m3t	bryophyte_associated	natural_low
c1t	bryophyte_associated	natural_low
c2t	bryophyte_associated	natural_low
c3t	bryophyte_associated	natural_low
e1t	bryophyte_associated	natural_low
e2t	bryophyte_associated	natural_low
e3t	bryophyte_associated	natural_low
n1ct	bryophyte_associated	saturated
n2ct	bryophyte_associated	saturated
n3ct	bryophyte_associated	saturated
m1ct	bryophyte_associated	saturated
m2ct	bryophyte_associated	saturated
m3ct	bryophyte_associated	saturated
c1ct	bryophyte_associated	saturated
c2ct	bryophyte_associated	saturated
c3ct	bryophyte_associated	saturated
e1ct	bryophyte_associated	saturated
e2ct	bryophyte_associated	saturated
e3ct	bryophyte_associated	saturated
